ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,736,12,12,79,99,105,110,116,98,69,36,0,0 to 118,50,418,306,12,736,0,0,9,673,2,90,1,75,661,0,0,736,74,1,0,0,14,61,0,75,1,0,11,16,17,13,13,3,1,0,0,1 to 79,39,46,9,12,8,14,54,7,3,0,0,0,0,0,75,61,14,75,0,0,2000,0,2076,2000,75,0,105,88,50,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3449,70,113,323,493,427,543,586,425,297,161,11,0 to 118,50,2174,1233,42,3441,8,0,75,3140,133,275,22,213,3233,1,2,3438,135,78,0,0,130,83,0,213,2,20,31,29,30,32,25,20,17,7,0,2 to 98,42,105,89,9,10,9,190,14,43,0,25,0,0,6,213,83,130,213,0,0,4762,8,4984,4770,213,6,182,113,42,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,882,33,19,77,131,112,112,159,141,71,23,4,0 to 118,50,485,366,31,874,8,0,16,761,3,134,27,62,819,1,0,873,50,11,1,0,19,42,0,61,0,1,12,22,11,2,7,3,4,0,0,6 to 84,32,40,3,16,2,25,34,2,13,0,6,0,0,0,62,42,20,61,1,0,1241,7,1312,1248,62,0,144,42,47,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,7018,162,149,539,1020,996,916,1075,813,731,571,46,0 to 119,51,4262,2713,43,6877,140,1,146,6421,137,370,72,391,6627,0,0,6878,286,97,4,4,193,189,1,383,6,18,35,75,62,52,59,38,25,15,6,0 to 96,44,299,42,26,16,113,253,17,87,2,53,1,0,6,391,194,196,382,8,1,10549,132,11080,10681,391,6,871,443,58,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,532,5,4,43,47,77,75,90,83,71,36,1,0 to 99,56,317,197,18,532,0,0,4,441,4,53,3,65,467,0,0,532,49,16,0,0,50,15,0,65,0,0,6,4,3,2,3,7,20,20,0,20 to 99,78,47,10,0,8,0,52,13,11,0,6,0,0,5,65,15,50,65,0,0,663,0,730,663,65,5,99,37,52,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,69382,1026,1547,4976,8320,8288,9775,11861,10624,7463,3901,1601,0 to 119,54,38078,31028,276,68617,763,2,2261,62562,465,7455,352,10116,58924,195,147,68280,9851,143,116,6,4949,5036,9,9994,143,356,1233,1723,1602,1549,1351,899,728,525,7,0 to 104,44,4293,1801,1662,2238,3473,4167,2354,2066,33,1534,22,13,464,10116,5106,5001,9992,122,2,106305,638,117297,106943,10116,464,2834,2569,55,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,10290,178,205,684,1238,1266,1572,1806,1689,1085,536,31,0 to 119,54,5910,4169,211,10143,147,0,410,8951,188,1199,74,1131,9074,5,80,10058,1045,75,11,0,590,529,1,1120,24,33,118,195,161,193,161,120,74,52,0,0 to 97,47,386,201,98,435,170,459,491,210,1,149,2,0,40,1131,534,596,1120,11,0,17547,136,18820,17683,1131,40,374,359,58,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,13744,264,324,1003,1618,1853,2174,2446,2154,1311,569,28,0 to 119,53,8038,5662,44,13668,76,0,227,12889,223,722,110,686,13036,2,20,13646,627,48,10,1,361,314,0,675,11,17,95,104,123,117,91,82,27,19,0,0 to 94,44,413,86,85,91,145,422,108,143,4,101,3,1,16,686,320,366,675,11,0,25736,65,26498,25801,686,16,1169,617,48,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,2921,49,92,210,489,499,511,465,383,140,81,2,0 to 119,47,2026,882,13,2902,18,1,33,2663,46,321,16,319,2600,1,1,2901,305,9,5,0,227,87,0,314,3,7,20,66,73,62,37,27,14,10,0,0 to 98,43,127,131,15,41,35,224,55,63,1,57,0,0,6,319,87,232,313,5,1,5000,13,5338,5013,319,6,385,191,45,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,12894,188,300,1513,2115,1903,1988,2110,1729,675,342,31,0 to 119,47,6684,6078,132,12659,234,1,176,12116,201,556,89,508,12355,3,28,12629,466,10,31,1,253,223,0,476,3,14,146,97,66,68,66,34,10,4,0,0 to 91,34,164,261,15,36,25,407,44,87,11,44,9,7,8,508,239,269,475,32,1,21436,202,22151,21638,508,8,743,324,43,2.42861632663576,0.170704044186268
