ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Total_COVID_Cases_Reported_by_F,Total_COVID_Cases_Reported_by_1,Total_COVID_deaths_Reported_by_,Total_COVID_deaths_Reported_by1,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,30,2251,3,162,16,621,271,125,1,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,40,18333,4,1584,63,3139,1604,913,10,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,27,4680,3,297,27,1295,672,241,4,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,61,6603,1,339,28,1170,426,244,3,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,6,628,1,50,9,196,141,40,0,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,35,2345,3,78,7,288,176,33,1,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,61,17752,6,1672,46,2104,968,554,19,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,23,2262,0,148,15,471,230,113,3,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,29,18455,6,1188,15,966,509,212,7,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,3,999,0,60,4,209,169,35,2,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,49,7004,2,477,23,1085,527,304,3,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,47,8289,9,608,53,1722,767,436,5,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,53,8817,4,743,49,1844,783,433,2,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,43,16234,2,931,25,1152,678,358,13,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,4,645,1,42,5,139,84,31,0,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,11,4605,0,419,33,996,588,278,7,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,11,1123,0,148,7,250,132,106,4,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,16,15868,5,1078,29,1396,607,463,10,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,6,1173,0,132,7,404,121,110,1,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,10,6512,0,617,42,1364,642,452,5,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,44,16021,1,997,42,1612,800,484,7,1.62072838209013,0.0871537443231625
