ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,Shape_Leng,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Total_COVID_Cases_Reported_by_F,Total_COVID_Cases_Reported_by_1,Total_COVID_deaths_Reported_by_,Total_COVID_deaths_Reported_by1,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,650227.599305,1,ATLANTIC,25,2309,3,167,16,636,276,133,1,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,443324.34793,2,BERGEN,47,18463,7,1611,63,3194,1638,915,11,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,788903.854872,3,BURLINGTON,21,4746,4,311,28,1311,688,247,4,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,495006.578775,4,CAMDEN,69,6732,5,357,29,1195,445,257,3,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,514564.340282,5,CAPE MAY,8,637,0,50,9,150,144,41,0,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,704221.618565,6,CUMBERLAND,61,2531,7,86,7,311,185,39,1,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,344556.352028,7,ESSEX,111,18019,9,1702,46,2126,995,556,19,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,560696.852574,8,GLOUCESTER,22,2310,1,151,15,486,232,115,3,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,381356.570663,9,HUDSON,50,18518,5,1205,15,973,517,232,7,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,561755.697692,10,HUNTERDON,6,1015,1,62,4,210,169,35,2,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,484092.889323,11,MERCER,51,7120,7,499,23,1090,541,308,3,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,733254.571341,13,MONMOUTH,52,8428,4,630,53,1768,799,458,6,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,722804.023315,15,OCEAN,54,8954,2,765,49,1868,827,449,2,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,492850.749337,16,PASSAIC,65,16387,3,957,25,1170,685,360,13,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,664540.959975,17,SALEM,7,665,3,49,5,143,88,35,1,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,541586.64384,18,SOMERSET,24,4651,1,424,33,1011,620,285,7,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,525986.641842,19,SUSSEX,0,1130,0,149,7,250,134,107,4,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,321814.207051,20,UNION,50,16038,4,1092,29,1444,682,464,10,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,554859.389117,21,WARREN,3,1189,0,132,7,405,131,111,1,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,750263.075351,14,MORRIS,26,6572,3,625,42,1385,671,456,3,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,505626.031639,12,MIDDLESEX,75,16137,10,1025,42,1685,816,488,8,1.62072838209013,0.0871537443231625
