County,Cases,Deaths,Recovered,ReportDate
OKLAHOMA,1350,63,1161,2020-06-05
TULSA,1134,59,909,2020-06-05
TEXAS,944,6,893,2020-06-05
CLEVELAND,520,37,458,2020-06-05
WASHINGTON,339,37,278,2020-06-05
COMANCHE,306,3,267,2020-06-05
CADDO,168,10,141,2020-06-05
WAGONER,153,17,131,2020-06-05
CANADIAN,141,3,124,2020-06-05
MCCLAIN,109,3,98,2020-06-05
GRADY,107,3,75,2020-06-05
OSAGE,101,8,86,2020-06-05
DELAWARE,100,16,83,2020-06-05
CREEK,99,7,85,2020-06-05
CHOCTAW,97,1,26,2020-06-05
ADAIR,93,4,78,2020-06-05
ROGERS,83,5,73,2020-06-05
MCCURTAIN,79,1,36,2020-06-05
GREER,66,7,59,2020-06-05
POTTAWATOMIE,63,4,53,2020-06-05
MUSKOGEE,61,6,30,2020-06-05
KAY,57,7,47,2020-06-05
CARTER,51,1,34,2020-06-05
PAYNE,48,1,44,2020-06-05
STEPHENS,41,1,37,2020-06-05
PITTSBURG,41,3,38,2020-06-05
BRYAN,35,1,22,2020-06-05
OTTAWA,35,2,33,2020-06-05
CUSTER,32,0,14,2020-06-05
PAWNEE,32,2,27,2020-06-05
CHEROKEE,31,1,27,2020-06-05
MAYES,31,4,27,2020-06-05
SEMINOLE,30,2,21,2020-06-05
GARFIELD,29,1,24,2020-06-05
JACKSON,27,3,20,2020-06-05
OKMULGEE,25,0,23,2020-06-05
BEAVER,24,0,24,2020-06-05
TILLMAN,23,1,21,2020-06-05
NOWATA,23,0,22,2020-06-05
LINCOLN,22,2,19,2020-06-05
LOGAN,19,1,18,2020-06-05
GARVIN,18,1,14,2020-06-05
SEQUOYAH,17,3,11,2020-06-05
PONTOTOC,17,2,9,2020-06-05
LOVE,16,0,15,2020-06-05
CRAIG,15,0,15,2020-06-05
MCINTOSH,14,1,11,2020-06-05
LE FLORE,14,1,13,2020-06-05
KINGFISHER,12,0,11,2020-06-05
BLAINE,9,0,6,2020-06-05
MARSHALL,9,0,8,2020-06-05
BECKHAM,7,0,6,2020-06-05
NOBLE,7,0,7,2020-06-05
HASKELL,6,0,6,2020-06-05
KIOWA,6,0,4,2020-06-05
MAJOR,6,1,5,2020-06-05
COTTON,5,2,3,2020-06-05
WOODWARD,5,0,3,2020-06-05
OKFUSKEE,5,0,3,2020-06-05
COAL,5,0,1,2020-06-05
MURRAY,5,0,4,2020-06-05
LATIMER,5,1,4,2020-06-05
ATOKA,4,0,2,2020-06-05
WOODS,4,0,3,2020-06-05
JEFFERSON,4,0,4,2020-06-05
PUSHMATAHA,4,0,2,2020-06-05
JOHNSTON,3,0,3,2020-06-05
HUGHES,3,0,0,2020-06-05
GRANT,2,0,2,2020-06-05
DEWEY,2,0,2,2020-06-05
WASHITA,2,0,1,2020-06-05
CIMARRON,1,0,1,2020-06-05
HARPER,1,0,1,2020-06-05
ALFALFA,1,0,1,2020-06-05
