County,Total Positive,Total Negative,Total Tested,Total Recovered,Deaths
Adams,0,394,394,0,0
Barnes,9,991,1000,5,0
Benson,2,744,746,1,0
Billings,0,143,143,0,0
Bottineau,3,343,346,1,0
Bowman,1,398,399,1,0
Burke,5,157,162,5,0
Burleigh,142,8674,8816,107,0
Cass,1911,18241,20152,1521,60
Cavalier,0,237,237,0,0
Dickey,1,286,287,0,0
Divide,1,406,407,1,0
Dunn,11,300,311,11,0
Eddy,5,309,314,4,0
Emmons,4,337,341,2,1
Foster,1,146,147,1,0
Golden Valley,0,283,283,0,0
Grand Forks,337,6018,6355,308,4
Grant,2,120,122,2,0
Griggs,1,189,190,1,0
Hettinger,0,462,462,0,0
Kidder,0,112,112,0,0
LaMoure,1,286,287,0,0
Logan,0,169,169,0,0
McHenry,2,393,395,1,1
McIntosh,1,253,254,1,0
McKenzie,18,792,810,17,0
McLean,7,832,839,7,0
Mercer,6,667,673,5,0
Morton,60,2924,2984,46,2
Mountrail,43,1480,1523,41,0
Nelson,1,310,311,1,0
Oliver,1,80,81,1,0
Pembina,6,573,579,6,0
Pierce,3,424,427,3,0
Ramsey,8,1400,1408,6,1
Ransom,11,763,774,8,0
Renville,3,187,190,1,0
Richland,28,1473,1501,21,0
Rolette,6,1305,1311,5,0
Sargent,4,677,681,3,0
Sheridan,1,144,145,0,0
Sioux,2,559,561,0,0
Slope,3,133,136,3,0
Stark,62,3910,3972,58,2
Steele,1,226,227,0,0
Stutsman,42,3074,3116,19,0
Towner,0,138,138,0,0
Traill,14,1159,1173,5,0
Unknown,0,3819,3819,0,0
Walsh,16,721,737,15,0
Ward,44,6063,6107,37,1
Wells,6,413,419,3,0
Williams,25,2435,2460,23,0
