ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,820,18,23,96,106,117,126,121,104,73,36,0,0 to 118,49,454,357,9,820,0,0,20,681,2,178,3,134,686,0,0,820,113,21,0,0,39,95,0,134,5,6,22,22,23,24,19,8,5,0,0,0 to 83,39,96,14,15,9,29,91,14,8,0,1,0,0,0,134,95,39,134,0,0,2497,0,2634,2497,134,0,247,230,39,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3890,83,156,414,582,488,595,631,454,310,164,13,0 to 118,48,2361,1455,74,3880,10,0,115,3469,133,532,22,695,3192,1,2,3877,389,304,1,1,343,311,39,693,14,64,126,129,98,92,74,51,31,14,2,0 to 100,36,324,218,56,95,110,441,142,105,0,50,0,0,7,695,312,344,693,2,0,7601,8,8306,7609,695,7,212,143,36,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,981,33,20,100,152,130,126,173,144,75,24,4,0 to 118,49,549,401,31,973,8,0,20,774,3,228,28,130,849,1,1,971,104,24,2,0,64,63,1,128,0,2,29,38,21,12,16,4,8,0,0,6 to 84,33,67,30,20,11,26,89,13,26,0,10,0,0,1,130,63,66,128,2,0,1589,6,1728,1595,130,1,322,221,33,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,7808,214,174,695,1188,1122,1021,1141,874,754,583,42,0 to 119,49,4645,3076,87,7660,147,1,245,6703,137,741,94,1132,6647,0,29,7632,981,133,11,5,583,507,24,1114,13,35,194,236,179,146,126,93,64,42,2,0 to 103,39,699,100,91,224,227,600,287,128,3,72,1,0,10,1130,515,591,1113,16,1,15919,131,17197,16050,1130,10,1415,984,39,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,639,8,9,54,68,91,88,116,92,74,39,0,0 to 99,55,379,244,16,639,0,0,12,464,4,125,7,152,486,0,1,638,136,16,0,0,97,53,2,152,1,3,17,20,14,14,23,16,23,21,0,1 to 99,57,111,16,9,16,10,119,23,21,0,14,0,0,7,152,53,97,152,0,0,1057,0,1214,1057,152,7,270,208,57,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,79922,1277,1967,6717,10388,10024,11277,13144,11359,7893,4266,1610,0 to 119,52,43408,36198,316,79080,840,2,3829,68452,465,12452,432,19855,59700,181,186,78718,19470,178,193,6,9822,9767,59,19648,344,713,2851,3720,3252,2906,2507,1538,1107,896,13,0 to 105,41,7722,3236,2844,5846,6013,7440,6195,2812,42,2040,27,14,594,19847,9875,9910,19646,199,2,155137,638,175916,155775,19847,594,6175,5910,41,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,12352,217,291,983,1587,1591,1911,2071,1855,1192,617,37,0 to 119,52,7086,5000,266,12203,149,0,680,9988,188,2244,92,2739,9423,6,184,12013,2626,97,16,0,1452,1240,31,2723,52,101,391,492,435,454,341,245,134,88,6,0 to 104,42,936,445,253,1089,553,940,1230,301,1,231,2,1,61,2739,1249,1459,2723,16,0,24774,132,27662,24906,2739,61,1847,1832,42,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,17139,337,440,1626,2284,2375,2707,2849,2428,1451,611,31,0 to 119,50,9731,7320,88,17053,86,0,652,14433,223,2412,149,3754,13342,2,41,17010,3651,76,20,1,1869,1823,35,3727,65,110,658,731,601,578,449,322,164,69,1,0 to 99,39,1996,236,341,1154,626,1749,1352,431,9,249,5,1,28,3748,1833,1880,3727,21,0,41466,65,45305,41531,3748,28,2998,2446,39,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,3191,58,118,261,532,543,554,487,399,153,83,3,0 to 119,46,2171,1008,12,3173,17,1,52,2790,46,477,20,574,2615,1,1,3172,558,12,4,0,371,198,1,570,9,31,65,109,120,100,59,43,25,12,1,0 to 98,40,188,227,30,125,84,335,151,108,0,74,0,0,8,574,198,375,569,4,1,6380,13,6979,6393,574,8,525,330,40,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,14668,207,374,2312,2451,2085,2116,2251,1782,699,349,42,0 to 119,44,7619,6902,147,14414,253,1,293,13434,201,1064,108,2248,12408,2,10,14403,2173,22,48,3,1144,1024,27,2195,18,82,954,435,241,191,185,89,31,10,10,0 to 105,25,589,601,82,923,126,935,1134,138,11,65,10,7,8,2246,1049,1170,2194,51,1,35785,202,38314,35987,2246,8,1085,667,25,2.42861632663576,0.170704044186268
11,11,33,065,JEFFERSON,Jefferson,FL,628,14,15,36,59,84,88,124,121,67,19,1,0 to 101,56,371,253,4,622,6,0,10,498,41,118,8,80,548,0,0,622,48,29,3,0,42,35,0,77,2,2,12,14,10,9,12,7,6,6,0,0 to 95,47,37,29,8,3,9,63,5,14,2,10,0,0,4,80,38,42,77,3,0,1393,3,1477,1396,80,4,118,80,47,2.20493093525027,0.148496656229977
12,12,40,079,MADISON,Madison,FL,1335,64,62,132,157,172,185,196,193,113,55,6,0 to 99,49,849,481,5,1309,26,0,40,931,53,463,24,320,1014,0,1,1308,178,136,6,0,199,115,0,314,20,19,40,41,50,49,52,24,8,17,0,0 to 98,42,68,213,20,13,20,256,38,60,0,13,0,1,4,320,117,203,314,6,0,2236,20,2580,2256,320,4,490,390,42,2.16969163731198,0.174026330045279
13,13,39,077,LIBERTY,Liberty,FL,2275,5,10,172,696,564,408,278,96,30,7,9,0 to 105,38,200,2068,7,2275,0,0,1,2007,1,127,3,274,2001,0,0,2275,269,4,0,0,24,249,0,273,2,4,27,65,58,64,43,7,1,1,1,0 to 85,40,158,101,5,9,8,177,88,9,0,4,0,0,1,273,249,24,273,0,0,2296,0,2571,2296,273,1,143,118,40,3.02097391492398,0.204641327093244
14,14,24,047,HAMILTON,Hamilton,FL,2103,26,40,184,555,424,333,249,174,72,42,4,0 to 118,40,519,1561,23,2097,6,0,47,1896,9,419,6,417,1685,0,1,2096,404,10,2,1,126,288,0,414,15,23,54,106,74,69,53,17,6,0,0,0 to 84,36,164,213,34,3,67,200,147,59,1,15,0,0,2,417,290,127,414,3,0,2735,3,3156,2738,417,2,34,32,36,2.3015236652275,0.126367835513063
15,15,3,005,BAY,Bay,FL,4122,49,52,368,594,593,673,729,504,312,192,56,0 to 119,50,2298,1770,54,4064,58,0,250,3490,28,791,86,1110,3010,0,2,4062,958,110,37,2,575,490,3,1068,15,21,186,246,197,183,134,78,36,10,1,0 to 95,38,654,138,59,217,157,649,262,145,7,51,2,3,8,1107,514,590,1068,39,0,9627,21,10778,9648,1107,8,133,125,38,5.42268520962735,0.181027420718501
16,16,12,023,COLUMBIA,Columbia,FL,3650,100,114,266,450,456,479,700,571,300,205,9,0 to 119,54,2059,1501,90,3632,18,0,300,3056,63,534,16,462,3185,0,3,3629,414,43,5,0,224,233,0,457,19,24,53,86,65,64,71,44,26,10,0,0 to 97,43,213,158,58,28,62,363,32,13,0,60,0,0,4,462,237,225,457,5,0,6705,13,7185,6718,462,4,37,35,43,2.63367862103558,0.193837653658007
17,17,2,003,BAKER,Baker,FL,1026,34,20,123,152,146,164,165,113,75,32,2,0 to 99,47,553,420,53,966,60,0,65,864,16,172,5,151,869,0,6,960,103,48,0,0,64,84,3,151,2,4,25,22,26,19,23,13,14,3,0,1 to 97,43,103,29,8,11,3,120,28,29,0,20,0,0,4,151,84,64,151,0,0,2736,60,2947,2796,151,4,189,188,43,1.77124519435665,0.142602236961311
18,18,30,059,HOLMES,Holmes,FL,981,17,16,81,149,137,160,168,160,67,25,1,0 to 119,51,470,495,16,967,14,0,12,762,5,225,10,225,755,0,1,966,193,27,3,2,40,179,1,220,2,0,25,64,53,38,19,15,5,4,0,1 to 93,38,127,71,9,13,16,170,34,9,0,7,0,0,0,225,180,44,220,5,0,2512,9,2751,2521,225,0,153,147,38,1.73644592497981,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,8850,190,275,757,1001,1086,1167,1480,1455,1005,410,24,0 to 100,54,4380,4033,437,8752,98,0,623,6597,82,2270,85,2681,6127,1,41,8711,2647,15,18,0,1234,1413,15,2662,92,161,425,482,469,433,274,168,110,62,4,0 to 99,38,967,131,837,727,1445,687,530,411,3,230,2,1,40,2680,1423,1242,2662,18,0,16849,78,19633,16927,2680,40,1188,1177,38,2.97866994211851,0.153458428490643
