ï»¿OBJECTID_12,OBJECTID,COUNTY,COUNTY_LAB,Region,Shape_Leng,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,PROBABLE_DEATHS,Number_of_Facilities___Cumulati,Cumulative_COVID_Cases_Reported,Cumulative_COVID_Cases_Report_1,Cumulative_COVID_deaths_Reporte,Cumulative_COVID_deaths_Repor_1,Facilities_with_Active_Outbreak,Active_COVID_Cases_Reported_by_,Active_COVID_Cases_Reported_by1,Active_COVID_deaths_Reported_by,Active_COVID_deaths_Reported__1,ALL_HOSPITAL_DISCHARGES,FEMALE,MALE,F0_4_YEARS,F5_17_YEARS,F18_24_YEARS,F25_34_YEARS,F35_49_YEARS,F50_64_YEARS,F65_74_YEARS,F75_YEARS_OR_OLDER,WHITE__NON_HISPANIC,BLACK__NON_HISPANIC,HISPANIC,ASIAN__NON_HISPANIC,OTHER__NON_HISPANIC,RACE_ETHNICITY_UNKNOWN_UNAVAILA,MISSING,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,650227.599305,1,ATLANTIC,12,3161,2,225,15,17,695,325,155,1,9,634,265,138,1,594,277,317,1,2,13,39,71,165,118,185,206,113,94,13,25,11,132,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,443324.34793,2,BERGEN,30,20099,4,1768,263,65,3302,1744,928,10,34,2337,1129,610,9,3170,1331,1851,3,4,24,105,316,843,692,1195,1564,288,724,332,148,41,85,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,788903.854872,3,BURLINGTON,12,5490,2,426,41,30,1426,803,294,5,23,1245,688,245,4,890,434,462,3,2,6,32,84,236,199,334,449,273,56,23,18,15,62,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,495006.578775,4,CAMDEN,23,7888,4,508,55,32,1330,501,307,3,27,1251,458,292,3,1356,682,678,4,3,20,65,193,387,271,417,487,398,292,51,14,14,104,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,514564.340282,5,CAPE MAY,2,762,2,80,5,12,238,183,53,0,9,148,93,30,0,162,72,90,0,0,1,6,19,45,41,50,128,12,11,2,2,1,6,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,704221.618565,6,CUMBERLAND,7,3095,0,141,13,7,388,263,66,1,6,284,234,39,1,125,105,100,1,0,5,15,31,67,36,50,95,48,35,4,6,8,9,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,344556.352028,7,ESSEX,23,19173,2,1842,247,48,2177,1060,558,20,26,1352,694,369,13,3439,1649,1800,12,20,51,157,451,1067,697,994,561,1763,720,79,72,61,193,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,560696.852574,8,GLOUCESTER,15,2870,1,192,7,17,705,275,143,3,12,619,238,120,3,258,142,147,0,0,4,8,28,73,57,119,157,76,20,9,2,4,21,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,381356.570663,9,HUDSON,14,19281,1,1316,175,15,1010,588,255,8,13,906,524,216,8,2799,1164,1646,9,10,40,112,379,867,585,808,430,255,1054,159,253,46,613,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,561755.697692,10,HUNTERDON,1,1102,0,70,56,5,216,182,37,2,5,216,182,37,2,174,77,98,0,0,0,7,19,57,37,55,126,5,26,6,7,2,3,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,484092.889323,11,MERCER,14,7858,0,565,43,25,1201,618,344,4,15,871,464,243,4,927,414,516,2,1,24,72,182,225,162,262,277,304,279,22,32,6,10,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,733254.571341,13,MONMOUTH,36,9720,1,751,100,54,1890,916,511,7,31,1192,609,350,6,1621,772,859,3,6,21,56,170,415,318,642,1042,205,233,78,37,10,26,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,722804.023315,15,OCEAN,63,10054,1,941,70,52,1990,932,519,4,22,1272,590,331,1,1514,686,837,7,5,26,69,215,361,290,550,1085,90,243,37,23,11,34,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,492850.749337,16,PASSAIC,17,17196,0,1082,156,28,1386,786,417,15,18,878,542,271,6,1819,818,1008,6,15,49,101,265,574,370,446,536,280,807,73,57,17,56,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,664540.959975,17,SALEM,4,841,0,76,5,6,185,117,64,0,3,113,77,35,0,24,11,14,0,0,1,1,6,8,3,6,11,6,7,1,0,0,0,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,541586.64384,18,SOMERSET,9,5082,1,472,78,34,1074,711,298,8,30,999,679,271,7,563,244,327,3,1,6,16,76,170,110,189,279,61,146,39,21,5,20,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,525986.641842,19,SUSSEX,3,1256,0,158,37,9,260,160,110,4,5,220,106,91,2,309,130,180,1,1,4,4,18,99,86,97,222,27,29,10,3,1,18,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,321814.207051,20,UNION,31,16351,0,1167,175,29,1494,743,476,11,29,1494,743,476,11,2221,955,1293,13,12,29,96,329,718,463,588,542,593,830,80,70,41,92,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,554859.389117,21,WARREN,6,1295,0,155,14,9,413,138,124,1,5,174,78,54,1,179,84,95,1,0,1,6,21,45,34,71,109,16,28,3,4,6,13,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,750263.075351,14,MORRIS,19,7010,2,672,153,45,1461,742,494,3,19,702,379,249,1,867,359,508,0,6,18,32,97,225,169,320,490,52,208,35,33,14,35,2.40809246203369,0.133188921848586
