ï»¿OBJECTID_1,OBJECTID,AREA,COCAPS,STFIPS,FIPSNUM,FIPS,CONAME,County,Total,Deaths,StateCases,USCases,USDeaths,CountyCases,Hosp,Pop2018,Rate10k,Shape__Area,Shape__Length
1,1,0,ROCKINGHAM,37157,157,157,Rockingham,Rockingham County,375,3,55,3819139,140630,100,1137,90690,41.3496526629176,0.148785685045368,1.60550891033685
2,2,0,GUILFORD,37081,81,081,Guilford,Guilford County,4412,134,55,3819139,140630,100,1137,533670,82.6728127869282,0.170461249960454,1.68763135812499
3,3,0,ALAMANCE,37001,1,001,Alamance,Alamance County,1809,40,55,3819139,140630,100,1137,166436,108.690427551732,0.112591183756876,1.40325020018321
4,4,0,ALEXANDER,37003,3,003,Alexander,Alexander County,225,2,55,3819139,140630,100,1137,37353,60.2361256124006,0.0681572615228561,1.15902331406146
5,5,0,RANDOLPH,37151,151,151,Randolph,Randolph County,1810,35,55,3819139,140630,100,1137,143351,126.263507056107,0.203850925732695,1.81820442925197
6,6,0,WAYNE,37191,191,191,Wayne,Wayne County,2142,35,55,3819139,140630,100,1137,123248,173.795923666104,0.143104402560766,1.73800574979259
7,7,0,ASHE,37009,9,009,Ashe,Ashe County,75,1,55,3819139,140630,100,1137,27109,27.6660887528127,0.111379250835853,1.62041375068248
8,8,0,ALLEGHANY,37005,5,005,Alleghany,Alleghany County,53,0,55,3819139,140630,100,1137,11161,47.4867843383209,0.0610416128834004,1.36181318416571
9,9,0,CURRITUCK,37053,53,053,Currituck,Currituck County,56,0,55,3819139,140630,100,1137,27072,20.6855791962175,0.115361119903127,1.98969872742252
10,10,0,CAMDEN,37029,29,029,Camden,Camden County,48,2,55,3819139,140630,100,1137,10710,44.8179271708683,0.0794412878267394,2.06695672033485
11,11,0,SURRY,37171,171,171,Surry,Surry County,699,4,55,3819139,140630,100,1137,71948,97.1534997498193,0.140350927317286,1.76160942158441
12,12,0,GATES,37073,73,073,Gates,Gates County,34,2,55,3819139,140630,100,1137,11573,29.3787263458049,0.0899798985994948,1.39825742996753
13,13,0,HERTFORD,37091,91,091,Hertford,Hertford County,219,11,55,3819139,140630,100,1137,23659,92.5651971765501,0.0939751796515793,1.85185126536062
14,14,0,NORTHAMPTON,37131,131,131,Northampton,Northampton County,240,16,55,3819139,140630,100,1137,19676,121.976011384428,0.14308298336914,2.42716213499337
15,15,0,STOKES,37169,169,169,Stokes,Stokes County,202,1,55,3819139,140630,100,1137,45467,44.4278267754635,0.118623983185444,1.40435816871631
16,16,0,WARREN,37185,185,185,Warren,Warren County,212,6,55,3819139,140630,100,1137,19807,107.032867168173,0.115341343672299,1.51128223847269
17,17,0,VANCE,37181,181,181,Vance,Vance County,650,40,55,3819139,140630,100,1137,44582,145.798752859899,0.070179543057975,1.14473069536426
18,18,0,GRANVILLE,37077,77,077,Granville,Granville County,1055,25,55,3819139,140630,100,1137,60115,175.496964152042,0.139359229865704,1.70187067145839
19,19,0,CASWELL,37033,33,033,Caswell,Caswell County,167,2,55,3819139,140630,100,1137,22698,73.5747642964138,0.111572693180051,1.34288282986952
20,20,0,PERSON,37145,145,145,Person,Person County,157,1,55,3819139,140630,100,1137,39507,39.7397929480852,0.105097039715247,1.29914427033017
