ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1026,28,33,121,132,140,148,150,117,95,62,0,0 to 118,49,583,436,7,1026,0,0,40,742,2,303,7,303,720,0,3,1023,271,32,0,0,148,155,0,303,10,13,43,44,41,42,40,20,26,24,0,0 to 100,45,228,17,22,36,42,214,47,18,0,6,0,0,0,303,155,148,303,0,0,2937,0,3246,2937,303,0,435,418,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4285,94,188,493,644,554,647,680,475,326,172,12,0 to 118,47,2579,1646,60,4277,8,0,198,3722,133,819,22,1150,3132,1,2,4274,660,490,0,0,590,535,25,1150,24,95,217,191,169,157,132,78,58,28,1,0 to 100,37,530,307,143,170,209,732,209,211,0,124,0,0,13,1150,535,590,1150,0,0,9534,8,10702,9542,1150,13,258,189,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,1210,39,45,135,188,168,166,193,159,85,28,4,0 to 118,46,689,498,23,1201,9,0,42,809,3,459,29,257,951,0,2,1199,218,36,3,0,143,111,0,254,0,12,45,58,43,36,32,13,14,4,0,5 to 91,37,127,87,25,15,29,201,24,44,0,13,0,0,3,257,111,146,254,3,0,2367,6,2632,2373,257,3,619,519,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,8981,212,232,932,1441,1310,1177,1280,957,790,607,43,0 to 119,47,5285,3601,95,8824,156,1,363,7250,137,1114,107,2275,6676,0,30,8795,2112,138,20,5,1201,1009,40,2250,28,75,412,481,356,293,269,178,107,73,3,0 to 103,38,1137,196,236,681,329,1113,808,183,3,106,1,0,20,2275,1021,1214,2249,25,1,20892,131,23327,21023,2275,20,2137,1706,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,781,11,19,79,86,114,109,131,108,82,42,0,0 to 99,52,459,308,14,781,0,0,26,473,4,216,9,247,533,0,1,780,231,16,0,0,147,100,0,247,2,6,29,30,24,32,36,32,32,24,0,1 to 99,55,193,18,17,19,13,208,26,36,0,24,0,0,7,247,100,147,247,0,0,1749,0,2002,1749,247,7,440,378,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,90552,1446,2441,8302,12359,11776,13005,14506,12187,8345,4555,1630,0 to 119,51,49074,41132,346,89651,899,2,5748,74258,465,18386,542,29707,60462,171,212,89273,29190,257,254,6,15021,14312,114,29447,489,1102,4353,5612,4898,4513,3744,2251,1515,1199,31,0 to 106,41,10824,4501,4545,9577,8178,10632,10637,3326,42,2429,27,15,752,29707,14446,15143,29445,260,2,204723,635,235583,205358,29707,752,8169,7905,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,14285,242,398,1214,1914,1938,2230,2343,2001,1274,693,38,0 to 119,51,8241,5770,274,14133,152,0,908,11041,188,3029,104,4316,9745,5,219,13909,4185,110,21,0,2333,1911,51,4295,78,182,585,768,710,694,554,385,212,142,6,0 to 104,42,1322,820,479,1674,798,1504,1993,373,2,279,2,1,96,4316,1922,2343,4295,21,0,31662,129,36155,31791,4316,96,2728,2713,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,19186,365,516,1886,2593,2718,3047,3129,2626,1583,693,30,0 to 119,49,10852,8246,88,19094,92,0,1121,15119,223,3966,187,5674,13454,2,56,19036,5526,121,26,1,2896,2713,38,5647,91,172,890,1025,906,894,716,518,295,165,2,0 to 105,42,3261,364,650,1372,1008,2879,1760,637,9,404,4,1,66,5674,2726,2910,5647,27,0,51610,65,57385,51675,5674,66,3751,3199,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,3774,81,168,363,635,643,635,551,434,171,90,3,0 to 119,44,2468,1286,20,3753,20,1,101,3169,46,675,26,1142,2630,1,1,3752,1083,52,7,0,653,471,11,1135,28,72,166,209,215,188,123,77,44,19,1,0 to 98,39,299,380,85,371,192,513,430,175,0,94,0,0,13,1142,471,660,1134,7,1,8439,13,9627,8452,1142,13,697,502,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,16133,241,454,2704,2737,2291,2316,2411,1851,719,365,44,0 to 119,43,8407,7580,146,15863,269,1,613,14000,201,1725,130,3656,12452,2,23,15839,3540,48,65,3,1892,1668,28,3588,43,145,1334,722,448,386,335,152,51,28,12,0 to 105,27,1024,1073,249,1242,248,1586,1754,253,14,95,11,7,13,3656,1701,1927,3587,68,1,45381,200,49333,45581,3656,13,1621,1205,2.42861632663576,0.170704044186268
