County,Cases,Deaths,Recovered,ReportDate
TULSA,4035,72,3073,2020-07-05
OKLAHOMA,3479,70,2516,2020-07-05
CLEVELAND,1052,40,802,2020-07-05
TEXAS,993,6,981,2020-07-05
MCCURTAIN,542,7,383,2020-07-05
COMANCHE,447,7,385,2020-07-05
PAYNE,426,1,325,2020-07-05
WASHINGTON,407,39,355,2020-07-05
CANADIAN,337,3,253,2020-07-05
WAGONER,310,19,225,2020-07-05
ROGERS,217,6,154,2020-07-05
MCCLAIN,198,4,149,2020-07-05
CADDO,195,11,173,2020-07-05
OSAGE,185,8,154,2020-07-05
DELAWARE,175,16,121,2020-07-05
CREEK,174,7,132,2020-07-05
GRADY,173,5,133,2020-07-05
MUSKOGEE,138,11,89,2020-07-05
CARTER,128,1,79,2020-07-05
BRYAN,124,1,82,2020-07-05
ADAIR,121,4,108,2020-07-05
CHOCTAW,119,1,105,2020-07-05
POTTAWATOMIE,117,4,89,2020-07-05
KAY,111,7,83,2020-07-05
OKMULGEE,95,0,54,2020-07-05
MAYES,94,5,70,2020-07-05
GARVIN,91,1,61,2020-07-05
CHEROKEE,90,1,73,2020-07-05
OTTAWA,81,2,51,2020-07-05
GARFIELD,79,2,61,2020-07-05
MCINTOSH,67,1,49,2020-07-05
GREER,66,7,57,2020-07-05
STEPHENS,65,1,55,2020-07-05
CUSTER,64,0,53,2020-07-05
PITTSBURG,64,3,50,2020-07-05
LOGAN,60,1,39,2020-07-05
PAWNEE,58,2,50,2020-07-05
JACKSON,48,3,29,2020-07-05
SEQUOYAH,47,3,30,2020-07-05
PONTOTOC,45,2,31,2020-07-05
SEMINOLE,43,3,33,2020-07-05
NOBLE,40,1,32,2020-07-05
MARSHALL,37,0,28,2020-07-05
NOWATA,37,1,35,2020-07-05
LINCOLN,35,2,28,2020-07-05
LE FLORE,35,1,29,2020-07-05
KINGFISHER,32,0,23,2020-07-05
BEAVER,32,0,32,2020-07-05
LOVE,31,0,30,2020-07-05
ATOKA,25,0,13,2020-07-05
TILLMAN,25,1,23,2020-07-05
MURRAY,22,0,16,2020-07-05
CRAIG,21,0,19,2020-07-05
PUSHMATAHA,17,0,10,2020-07-05
BLAINE,17,0,15,2020-07-05
OKFUSKEE,16,0,12,2020-07-05
LATIMER,15,1,8,2020-07-05
JOHNSTON,13,0,12,2020-07-05
HUGHES,13,0,10,2020-07-05
WOODWARD,13,0,11,2020-07-05
HASKELL,12,0,10,2020-07-05
KIOWA,12,1,7,2020-07-05
BECKHAM,11,0,8,2020-07-05
JEFFERSON,10,0,5,2020-07-05
COAL,9,0,7,2020-07-05
MAJOR,8,1,7,2020-07-05
COTTON,7,2,3,2020-07-05
WOODS,6,0,5,2020-07-05
WASHITA,5,0,3,2020-07-05
DEWEY,4,0,4,2020-07-05
GRANT,2,0,2,2020-07-05
HARMON,2,0,0,2020-07-05
CIMARRON,1,0,1,2020-07-05
ALFALFA,1,0,1,2020-07-05
HARPER,1,0,1,2020-07-05
ELLIS,1,0,1,2020-07-05
