ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,794,17,19,93,106,111,120,120,101,71,36,0,0 to 118,49,443,340,11,794,0,0,12,678,2,149,2,114,679,0,1,793,94,20,0,0,30,84,0,114,4,6,19,21,19,20,17,5,3,0,0,0 to 83,38,81,11,15,7,28,75,11,5,0,0,0,0,0,114,84,30,114,0,0,2328,0,2445,2328,114,0,212,195,39,38,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3744,79,140,397,548,470,576,615,442,302,162,13,0 to 118,49,2287,1388,69,3734,10,0,90,3383,133,382,22,540,3201,1,2,3731,286,252,1,1,267,242,29,538,11,48,108,96,78,72,58,37,22,8,2,0 to 98,35,232,198,39,69,81,339,118,71,0,39,0,0,6,540,243,268,538,2,0,6823,8,7372,6831,540,6,210,141,40,35,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,942,33,20,88,148,123,118,169,143,73,23,4,0 to 118,49,522,390,30,934,8,0,18,764,3,193,28,99,842,1,0,933,78,19,2,0,42,54,1,97,0,2,19,33,17,5,11,4,8,0,0,6 to 84,33,57,11,20,9,26,61,10,20,0,8,0,0,1,99,54,44,97,2,0,1451,6,1558,1457,99,1,257,155,32,33,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,7550,171,170,650,1142,1091,991,1121,851,747,576,40,0 to 119,50,4535,2973,42,7402,147,1,201,6658,137,587,85,906,6642,0,2,7401,760,130,11,5,474,416,0,890,11,33,150,187,151,119,105,69,53,28,0,0 to 99,39,548,72,71,199,188,457,245,110,3,64,1,0,8,906,425,481,889,16,1,14586,131,15638,14717,906,8,1172,740,43,39,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,571,5,4,46,56,82,81,98,88,72,39,0,0 to 99,56,342,212,17,571,0,0,8,447,4,79,5,97,474,0,0,571,81,16,0,0,66,31,0,97,0,0,9,11,7,7,9,12,21,21,0,15 to 99,71,71,12,6,8,8,74,15,14,0,9,0,0,6,97,31,66,97,0,0,891,0,991,891,97,6,167,105,78,71,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,76702,1194,1842,6253,9761,9476,10803,12726,11118,7756,4165,1608,0 to 119,53,41751,34658,293,75902,798,2,3206,66764,465,10745,404,16838,59507,185,172,75550,16519,159,152,6,8313,8324,41,16678,288,608,2419,3098,2733,2453,2128,1323,987,788,11,0 to 105,41,6593,2723,2475,4887,5264,6220,5194,2586,38,1890,24,14,542,16836,8412,8382,16676,158,2,142760,637,160483,143397,16836,542,5253,4988,44,41,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,11556,202,255,882,1453,1472,1794,1953,1778,1145,587,35,0 to 119,53,6660,4689,207,11410,146,0,581,9533,188,1901,82,2182,9279,6,89,11315,2085,86,11,0,1184,977,10,2171,47,70,302,380,344,372,276,198,114,75,4,0 to 99,43,747,356,192,876,437,755,979,265,1,193,2,1,50,2182,982,1190,2171,11,0,22508,135,24836,22643,2182,50,1381,1366,46,43,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,16067,308,406,1451,2092,2226,2538,2710,2330,1389,587,30,0 to 119,51,9188,6814,65,15987,80,0,505,13961,223,1791,136,2757,13274,2,34,15951,2671,71,14,1,1382,1345,15,2742,47,82,503,545,461,417,322,236,106,38,0,0 to 99,38,1422,179,247,894,461,1230,1051,326,5,169,4,1,24,2757,1354,1388,2742,15,0,36617,65,39453,36682,2757,24,2576,2024,43,38,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,3082,54,108,237,510,524,541,479,395,148,84,2,0 to 119,47,2114,956,12,3064,17,1,46,2737,46,419,17,468,2610,1,3,3061,452,12,4,0,312,152,0,464,5,22,44,88,98,87,51,39,21,13,0,0 to 105,42,166,173,24,101,62,288,114,96,0,69,0,0,7,468,152,316,463,4,1,5882,13,6375,5895,468,7,486,292,43,42,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,14209,198,346,2156,2384,2029,2075,2184,1761,686,349,41,0 to 119,44,7355,6704,150,13960,248,1,264,13099,201,927,104,1798,12399,2,10,13949,1735,17,45,1,900,825,27,1752,10,56,801,366,188,149,126,65,18,10,9,0 to 119,25,442,449,57,804,90,776,886,127,11,58,9,7,8,1798,848,923,1751,46,1,32063,202,34133,32265,1798,8,986,567,30,25,2.42861632663576,0.170704044186268
